head_event	relation	tail_event
急性期	Accelerator	眼睑红肿
眼底出血	X-Y	保持静卧位
糖尿病视网膜病变	X-Y	定期检查眼底
泪器疾病	X-Y	流泪
剧烈咳嗽	X-Y	白眼球表面的出血
疾病的早期	Accelerator	药物治疗
孔源性视网膜脱离	X-Y	手术
结膜血管瘤	X-Y	激光
外伤	Accelerator	外伤缝合处理
高度近视	X-Y	去正规眼科，进行详细的眼部检查
高度数	Accelerator	需要看近处、看远处两幅眼镜
明显的异物感	Accelerator	及早到医院检查
角膜基质炎	X-Y	先天性梅毒
角膜炎	X-Y	全身的抗菌和抗病毒的治疗
细菌性角膜炎	X-Y	必要时应用降眼压药的药物
屈光不正	Accelerator	配戴眼镜
药物	X-Y	老花眼
裂孔比较大	Accelerator	玻璃体切割手术
眼睛分泌黄白色的分泌物	X-Y	细菌感染引起
老花	X-Y	缓解老花眼所引起的视物模糊、视力疲劳
视网膜前膜	X-Y	及早行玻璃体切割手术
色盲	X-Y	性染色体隐性遗传疾病
玻璃体后脱离	X-Y	完善眼底检查
视网膜血管堵塞	X-Y	复方血栓通胶囊
不愿意配戴这种角膜接触镜	Accelerator	框架眼镜
睑板腺功能障碍	Accelerator	聚乙二醇滴眼液
150度的散光	X-Y	顺规横轴的散光
角膜炎	X-Y	引起眼球剧烈的疼痛
角膜炎	X-Y	减少复发
近视度数的增长	Accelerator	视网膜在拉伸
糖尿病视网膜病变	X-Y	玻璃体切割手术治疗
眼睛出血	X-Y	玻璃体腔出血
闭角型青光眼	X-Y	β肾上腺能受体阻滞剂
中心暗点	Accelerator	光动力学联合玻璃体腔内注射抗血管内皮细胞生长因子疗法
散瞳以后度数能够消失	X-Y	真性近视
慢性期	Accelerator	眼痒
刺激性的致病菌	X-Y	角膜炎
少量出血	Accelerator	不需要口服药物
遵医嘱规律用药	Accelerator	逐步的恢复正常
散光	X-Y	恢复良好的视觉质量
眼部疲劳	Accelerator	配戴眼镜
虹膜炎	X-Y	外观上眼睛发红
儿童散光	X-Y	散瞳验光
视网膜激光光凝术	X-Y	糖尿病性视网膜病变
飞秒激光	Accelerator	8000-18000元
裂纹或脉络膜新生血管累及了黄斑	Accelerator	视物变形
初步确定近用度数	Accelerator	确定老光戴镜的度数
眼底出血	X-Y	口服药物
超过了400度或者600度以上	Accelerator	会造成严重的视物模糊
早期	Accelerator	视网膜色素上皮层紊乱
红霉素眼药膏	X-Y	使用
视神经疾病	Accelerator	糖皮质激素治疗
散光	X-Y	角膜地形图
200-300度的远视	Accelerator	不配镜
老视	X-Y	视觉疲劳
原来为正视眼或远视眼	Accelerator	佩戴老花镜
圆锥角膜	X-Y	散光的度数随着年龄的增长在逐步增高
超高度近视	X-Y	每年要进行1-2次的眼底检查
沙眼	X-Y	沙眼衣原体
少量的网膜表面出血	Accelerator	可以自行恢复正常
角膜的形态不规则导致	Accelerator	串珠子训练对于散光是没有任何治疗的作用
糖尿病性视网膜病变	X-Y	激光光凝术
白塞病性葡萄膜炎	X-Y	激素滴眼液
老花眼	X-Y	验光
眼睑痉挛	X-Y	眼睛跳
玻璃体积血	Accelerator	玻璃体切割手术
玻璃膜疣	X-Y	微脉冲激光照射治疗
减慢其发展速度	Accelerator	近距离用眼时间过久，要学会适当的休息
真菌角膜炎	X-Y	恢复
泪囊炎	X-Y	细菌滋生
细菌性角膜炎	X-Y	视力下降
合并弱视	Accelerator	进行弱视训练和弱视治疗
小孩子远视	X-Y	配戴合适的眼镜
实在闭合不了	Accelerator	湿润的眼药水帮助眼表湿润
细菌性角膜炎	X-Y	最敏感的药物
便秘	X-Y	白眼球表面的出血
病毒性角膜炎	X-Y	口服抗病毒的滴丸
发现的年龄越早	Accelerator	恢复的可能性就越大
全色盲	X-Y	视力一般都很差
散光	X-Y	视物模糊
经常看手、机电脑	X-Y	干眼症
存在病理性的改变	Accelerator	及早手术治疗
眼底出血	X-Y	立刻做手术
结膜炎	X-Y	抗病毒的药物
泪液排出异常	X-Y	溢泪
角膜瘢痕	Accelerator	对视力造成不可逆影响
角膜炎	X-Y	白天也多用眼药膏
角膜炎	X-Y	眼药膏晚上用
无视疲劳	Accelerator	不用戴镜
视网膜色素上皮病变	X-Y	视网膜裂孔
散光的矫正手术	X-Y	8000-18000元
月经周期	X-Y	眼睛肿胀
月经周期	X-Y	睡醒眼睛肿
度数相对来说不算太高	Accelerator	角膜激光手术
糖皮质激素	Inhibitor	促进疾病的恢复
严重的干眼	X-Y	视物模糊
位于瞳孔区附近或者是中央	Accelerator	角膜炎治愈后会留下瘢痕
整个的玻璃体出血	Accelerator	视力丧失
裂孔	Inhibitor	视网膜激光光凝术
角膜炎	X-Y	角膜炎治愈以后，视力可以完全恢复正常
眼部受到比较严重的外力冲击	X-Y	前房出血
热敷	uncorrelated	恢复
眼底出血	X-Y	费用大概在20000-30000元之间
眼周围出现带状疱疹感染	Accelerator	带状疱疹性角膜炎
孔源性的视网膜脱离	X-Y	病情会越来越重
干性的黄斑变性	X-Y	视网膜的萎缩
急性过后	Accelerator	应用活血化瘀、促进血液吸收的药物
玻璃体的出血	Accelerator	手术治疗
疾病早期炎症比较浅	Accelerator	视力是完全恢复正常
高血压眼底出血	X-Y	眼底出血
早期	Accelerator	口服卵磷脂络合碘片
视网膜表面的新生血管	Accelerator	继发性青光眼
随着年龄的增加	Accelerator	弹性就逐渐减弱
压迫眼球	Accelerator	角膜穿孔
脱离的时间越长	Accelerator	造成的影响就越大
中心性浆液性脉络膜视网膜病变	X-Y	尚无特殊的药物治疗
伴有视疲劳	Accelerator	验光后佩戴框架镜矫正
视网膜表面的新生血管	Accelerator	视网膜脱离
眼外伤	X-Y	及时清创
疼痛剧烈	Accelerator	眼睑脓肿
具体的病因	Accelerator	治愈的时间
细菌的感染	Accelerator	泪囊炎
度数基本上不会有太大变化	Accelerator	眼镜基本上就要一直戴下去
全色盲	X-Y	眼球震颤
生理性的散光	Accelerator	框架眼镜
沙眼	X-Y	沙眼衣原体感染
没有对视力造成任何的影响	Accelerator	不用配戴眼镜
远视	X-Y	角膜接触镜
角膜炎潜伏期	X-Y	1个星期左右
熬夜	Accelerator	眼睑痉挛
小孩子有4.2的视力	X-Y	去医院进行验光
时间过长了度数发展	Accelerator	真性近视
眼睛下面有红点	X-Y	皮肤血管瘤
早期	Accelerator	眼药水白天用
沙眼	X-Y	睑结膜滤泡
玻璃膜疣	X-Y	抗氧化剂
远视	X-Y	看远和看近都不会有明显的症状
眼底血管样条纹	X-Y	光动力学联合玻璃体腔内注射抗血管内皮细胞生长因子疗法
眼底出血	Accelerator	视野才可能一定程度的恢复
感染的因素毒力比较强	Accelerator	角膜溃疡
盘状角膜炎	X-Y	妥布霉素地塞米松滴眼剂
视网膜已经发生了脱离	Accelerator	立刻做手术
长时间不能好转	Accelerator	手术治疗
眼底出血	X-Y	视网膜脱离复位手术
细菌性角膜炎	X-Y	眼睑上有很多黄白色的结痂颗粒
不规则散光	Accelerator	角膜移植术
病毒	Accelerator	在3-15天
结膜的充血	X-Y	眼屎的增多
预防	Accelerator	多做眼保健操
白色的眼屎会比较多	Accelerator	病毒的感染
角膜没有自身的营养血管	Accelerator	修复起来会比较慢
视网膜中央动脉阻塞	X-Y	持续低流量吸氧
外伤	X-Y	角膜炎
眼结石	X-Y	摩擦感
巩膜炎	X-Y	硬化性角膜炎
流行性出血性结膜炎	X-Y	附近的淋巴结肿大
手术解决	Accelerator	视力可能也有很大的提高
一过性眼压升高	X-Y	保持良好的用眼习惯
用眼过度	X-Y	代偿性的充血
致病菌毒性强烈	Accelerator	睑腺炎
时间长了	Accelerator	角膜炎
存在斜视	Accelerator	及早矫正
实在闭合不了	Accelerator	晚上可以涂药膏
因角膜受伤而引起角膜混浊或者龟裂	Accelerator	无法矫正
视物变形	Accelerator	光动力学联合玻璃体腔内注射抗血管内皮细胞生长因子疗法
高度近视	X-Y	视网膜裂孔
中心性浆液性脉络膜视网膜病变	X-Y	促进疾病的恢复
不能适应	Accelerator	先配戴低度的矫正眼镜，慢慢适应之后再配高度的矫正眼镜
如果炎症得到控制	Accelerator	有自愈可能性
脱离范围比较小	X-Y	巩膜环扎术
轻度的干眼症	X-Y	眼部的干涩
细菌性角膜炎	X-Y	采用眼罩保护患眼
视网膜激光光凝术	X-Y	视网膜裂孔
角膜白斑	X-Y	角膜移植术
低度数	Accelerator	看近处需要摘掉眼镜
眼睑蜂窝织炎	X-Y	引起严重并发症
早期	Accelerator	延缓花眼的进展
视网膜浅脱离	X-Y	及早行手术治疗
高度近视	X-Y	避免剧烈活动
炎症	X-Y	外观上眼睛发红
散光	X-Y	视力提高到正常
近视	Accelerator	50岁左右
A是90度	Accelerator	逆规散光
晚上看远处的物体或者灯光的时候	Accelerator	出现簇状或者团状光圈
眼底出血	X-Y	玻璃体切割手术
睡前看手机和电脑	X-Y	眼睛肿
细菌性角膜炎	X-Y	很疼
早期	Accelerator	用药比较频
角膜炎恢复正常	X-Y	角膜云翳
角膜厚度足够厚	Accelerator	激光手术
糖尿病视网膜病变	X-Y	眼科积极治疗
长期流眼泪	X-Y	内囊摘除术
玻璃体积血	Accelerator	手术
眼底出血	X-Y	眼部的B超
瘢痕可以透见虹膜	Accelerator	角膜斑翳
视网膜色素上皮病变	X-Y	视力下降
变态反应性角膜炎	Accelerator	可以用糖皮质激素
感染，细菌或者病毒的感染	X-Y	结膜的充血
手术治疗	Accelerator	人工晶体植入术
四岁的儿童	Accelerator	出现眼部疲劳
白塞病性葡萄膜炎	X-Y	白内障的手术
度数消失	Accelerator	说明散光是由于晶状体的屈光状态异常导致
慢性期	Accelerator	异物感
早期	Accelerator	刺痛
睫状肌无力收缩	Accelerator	配戴凸透镜
不用药水	Accelerator	红肿和疼痛会严重
明显黄斑水肿	Accelerator	玻璃体内注射雷珠单抗、康柏西普
疼痛剧烈	Accelerator	睑皮炎
经过合理的治疗	Accelerator	不会形成角膜瘢痕
下眼皮肿胀、疼痛	X-Y	下眼睑过敏
高度近视	X-Y	视网膜病变
高度近视	X-Y	黄斑出血
脓性分泌物完全消失之后	Accelerator	泪道探通
有结膜炎	Accelerator	结膜炎的眼药水
睫状肌长时间的收缩、痉挛，会形成牵拉	Accelerator	假性度数形成
比较严重而又无法控制	Accelerator	角膜移植术
浅的瘢痕	Accelerator	角膜云翳
病毒性结膜炎	X-Y	更昔洛韦凝胶
流行性出血性结膜炎	X-Y	大量结膜滤泡
压痛、触痛明显	Accelerator	眼睑蜂窝织炎
根据患者的要求和经济状况	Accelerator	配单光
散光	X-Y	需要将散光配足
远视	X-Y	积极的弱视治疗和训练
血管的阻塞	Accelerator	激光的治疗
散光	X-Y	眼部疲劳
急性期	Accelerator	结膜充血明显
生理性的远视度数大约在100-125度左右	X-Y	老花镜的度数就是225-200度之间
早期	Accelerator	营养神经的药物
弱视	X-Y	恢复
睫状肌的调节作用	X-Y	晶状体变凸
质量比较低劣的隐形眼镜	X-Y	造成结膜炎、角膜炎或者角膜损伤并发症
睑板腺功能障碍	Accelerator	小牛血去蛋白提取物眼用凝胶
牵拉性的视网膜脱离	Accelerator	手术治疗
裂孔	Accelerator	及早行手术治疗
散光	uncorrelated	老花眼
动脉硬化	X-Y	视网膜中央静脉或分支静脉阻塞
外伤	X-Y	眼睑皮下出血点
孔源性视网膜脱离	X-Y	及早行玻璃体切割联合视网膜脱离复位手术
散光	X-Y	生理性的散光
擦拭眼睛有浅红色液体	Accelerator	流行性出血性结膜炎
视网膜中央动脉阻塞	X-Y	降眼压治疗
散光度数过高	Accelerator	先配戴低度的矫正眼镜，慢慢适应之后再配高度的矫正眼镜
早期	Accelerator	甲钴胺片
角膜溃疡穿孔或即将穿孔	Accelerator	治疗性角膜移植手术
黄斑的水肿	Accelerator	考虑眼睛注药来消水肿
病毒性角膜炎	X-Y	阿昔洛韦
高血压视网膜病变	X-Y	视网膜出血
圆锥角膜	X-Y	散光
外伤	Accelerator	针对这些原因进行局部的治疗
外伤	X-Y	泪道狭窄或阻塞
眼底出血	X-Y	治疗这些原发病
血压特别的高	Accelerator	眼底出血
老花眼	X-Y	阅读的时候喜欢把物体放在远一些
真菌性角膜炎	Accelerator	那他霉素滴眼剂
可以跟花眼抵消	Accelerator	看远看不清
年龄比较小	Accelerator	频繁眨眼
深层角膜溃疡后弹力层膨出者	Accelerator	绷带加压包扎
比如	Accelerator	醋酸泼尼松龙滴眼剂
视网膜分支静脉阻塞	X-Y	玻璃体腔的积血
角膜炎	X-Y	病情加重
高度近视	X-Y	注意合理的用眼习惯
老花眼	X-Y	施图伦滴眼液
老花眼	X-Y	减少长时间近距离用眼的机会
高血压	X-Y	结膜下出血
戴角膜镜	Accelerator	戴隐形眼镜
散光	X-Y	很难保证清晰的视觉质量和相对正常的视野
角膜炎	X-Y	严重影响视力
预防	Accelerator	闭目养神
白塞病葡萄膜炎	X-Y	眼红痛
激素类的眼药水	Accelerator	氟米龙滴眼剂
老视	X-Y	视镜需要降低相应的近视度数
沙眼	X-Y	眼部出现黏稠分泌物
细菌性角膜炎	X-Y	绷带加压包扎
角膜炎	X-Y	一周以内可以逐步的恢复
脓性分泌物完全消失之后	Accelerator	泪道冲洗
病变侵及了基质层	Accelerator	角膜炎治愈后会留下瘢痕
配戴眼镜时最佳的矫正视力	Accelerator	最佳的散光度数
糖尿病视网膜病变	X-Y	视物的变形
下眼皮肿胀疼痛	X-Y	眼眶疾病
眼底出血	X-Y	打针
无痛性视力突然下降	Accelerator	视网膜动脉或者静脉阻塞
配戴眼镜	Accelerator	不能让视力提高到正常
视网膜激光光凝术	X-Y	视力轻度的下降
眼底血管样条纹	X-Y	视力是正常
结膜炎	X-Y	选取合理的药物控制炎症
理疗按摩	uncorrelated	散光的度数下降
及早发现眼底问题、及早处理	Accelerator	避免严重并发症的出现
超高度近视	X-Y	避免剧烈运动
超高度近视	X-Y	及早发现问题，及早处理
眼底出血	X-Y	视网膜中央静脉或分支静脉阻塞
圆锥角膜	X-Y	高度散光
盘状角膜炎	X-Y	抗病毒的眼药水
视网膜的静脉阻塞	X-Y	激光治疗
全身性疾病	X-Y	眼睛充血
眼睛前面有小黑点或者条状飞絮	X-Y	散瞳眼底检查
少量出血	Accelerator	不需要特殊处理
角膜炎恢复正常	X-Y	角膜白斑
手术	Accelerator	封闭视网膜裂孔
黄色的分泌物比较多，特别是粘在眼皮上阻碍睁眼睛	Accelerator	细菌感染引起
过敏性结膜	X-Y	抗过敏的眼药水
散光	X-Y	视盘影像可呈纵的椭圆形，边缘稍微模糊
一期到三期	Accelerator	改善视网膜微循环的药物
视力明显降低	Accelerator	验光后佩戴框架镜矫正
人的眼球	X-Y	长轴的方向则称之为散光的轴向
剧烈活动	Accelerator	眼底视网膜脱落、视网膜裂孔的形成
早期	Accelerator	视力是正常
中心性浆液性脉络膜视网膜病变	X-Y	视力下降
眼睛下面有红点	X-Y	结膜血管瘤
长期流眼泪	X-Y	泪道疾病
眼底出血	X-Y	激光
看远和看近都不会有明显的症状	Accelerator	不用配戴眼镜
干眼症	X-Y	避免有焦虑的情绪
视网膜脱落	X-Y	封闭视网膜裂孔
突然视力下降	Accelerator	急性闭角型青光眼
沙眼	X-Y	畏光
睑板腺功能障碍	X-Y	养成良好的休息、睡眠好习惯
散光	X-Y	诊断为屈光参差
角膜的形态不规则	Accelerator	远视力下降
用眼时间一长	Accelerator	疲劳症状加重
好转	Accelerator	减少用药次数
一只眼睛散光严重	X-Y	两只眼睛物差过大
全身疾病	X-Y	眼底出血
近距离工作	Accelerator	视疲劳
老年性湿性黄斑变性	Accelerator	抗VEGF药物
散光	X-Y	高度散光
渐进性无痛性视力下降	Accelerator	慢性开角型青光眼
中度或者轻度的近视	X-Y	视力可以重新恢复正常
眼睛出现眼底出血	Accelerator	玻璃体切割手术
白塞病性葡萄膜炎	X-Y	全身的口服激素
继发于眼部的疾病	Accelerator	后天性
仅侵及角膜上皮层并没有侵犯基质层	Accelerator	角膜炎治愈以后，视力可以完全恢复正常
急性期	Accelerator	乳头增生
眼睛视力下降的原因	X-Y	葡萄膜炎
眼底血管样条纹	X-Y	暗点
细菌性角膜炎	X-Y	眼球充血
结膜炎	X-Y	检查明确病因
中老年的年龄段比较容易出现眼压高	Accelerator	到医院做检查
眼睛还在发生、发展	Accelerator	度数有可能会逐步降低
口服药物	uncorrelated	散光的度数下降
病情进一步的进展	X-Y	视力下降
佩戴隐形眼镜所导致的结膜的缺氧缺水	X-Y	代偿性的充血
年龄的增长	Accelerator	变得稍微大一点
眼睛充血	X-Y	排除有无青光眼
老年人	Accelerator	睑腺炎
弱视	X-Y	遮盖治疗
玻璃膜疣	X-Y	叶黄素
缓解眼部的疲劳	Accelerator	施图伦滴眼液
严重时	Accelerator	严重影响视力
盘状角膜炎	X-Y	眼睛疼痛
角膜炎	X-Y	细菌性角膜炎
原因有非常多	Accelerator	及早到正规医院做相关检查
儿童	Accelerator	弱视
全色盲	X-Y	怕光
揉眼	Accelerator	结膜水肿
视力仍然没有恢复	Accelerator	说明之前角膜炎症是比较严重
眼睑皮下出血点	X-Y	抗过敏的眼膏类药物
玻璃体切割手术	X-Y	观察一下
黄斑的新生血管	Accelerator	注射抗VEGF类的药物
细菌性角膜炎	X-Y	畏光
白塞病葡萄膜炎	X-Y	视力下降
散光	X-Y	及早的配戴眼镜
沙眼	X-Y	避免接触感染
长期近距离屏幕前工作	X-Y	总是流泪
治疗不当	Accelerator	对视力造成不可逆影响
病情进一步的进展	Accelerator	视野缺损
视网膜脱离	Accelerator	药物治疗
及早使用药物干预	Accelerator	角膜穿孔
多数情况	Accelerator	是一个横椭圆形
散瞳	X-Y	数日内眼睛怕光
抵抗力差	Accelerator	睑腺炎
白塞病性葡萄膜炎	X-Y	结膜下、球旁或Tenon囊下注射激素
眼睛视力下降的原因	X-Y	慢性开角型青光眼
裂纹或脉络膜新生血管累及了黄斑	Accelerator	视力下降
视网膜的浅脱离	X-Y	视网膜激光光凝术
病变累及黄斑区	Accelerator	视力就会严重的下降
视网膜脱落	X-Y	巩膜外垫压术
隐形眼镜的透气性非常差	Accelerator	不要戴隐形眼镜
严重的并发症	Accelerator	视力急剧的下降
急性期	Accelerator	全身的口服激素
睑板腺功能异常	X-Y	酸胀
近视力也会下降	Accelerator	严重
角膜厚度达不到要求	Accelerator	不适合手术
眼睛看东西模糊	X-Y	屈光不正
偏头疼	Accelerator	不要喝刺激性饮料
出血量非常大	Accelerator	玻璃体切割手术
眼底血管样条纹	X-Y	必要时要戴防护眼镜
皮肤的血管瘤	X-Y	激光
老花眼	X-Y	老视屈光手术
眼部疼痛	X-Y	局部炎症
度数	Accelerator	视力下降
红霉素眼药膏	X-Y	结膜炎
急性泪腺炎	X-Y	脓性分泌物
药物控制	Accelerator	角膜上皮一般会留有瘢痕
发烧	Accelerator	病毒感染
视神经疾病	X-Y	视野缺损
眼睛视力下降的原因	X-Y	眼内炎
老花眼	X-Y	需要看近处、看远处两幅眼镜
矫正后	Accelerator	头位异常可以消除
疼痛剧烈	Accelerator	眼睑蜂窝织炎
病毒性角膜炎	X-Y	分泌物多表现为水样
早期	Accelerator	定期观察眼底变化
结膜下有片状出血	Accelerator	结膜下出血
老花眼	X-Y	尽量避免长时间熬夜等不良的生活习惯
老花眼	X-Y	施于巩膜的老视矫正手术
玻璃体后脱离	X-Y	及早手术治疗
物理损伤	X-Y	角膜炎
出血吸收以后	Accelerator	早行视网膜激光光凝术
增加腹压	Accelerator	角膜穿孔
缺血、缺氧性的改变	Accelerator	眼底出血、渗出、新生血管形成
睫状肌调节疲劳	X-Y	视物模糊
老花眼	X-Y	佩戴花镜
高度近视	X-Y	视网膜脱离
长期流眼泪	X-Y	泪道狭窄
散光	X-Y	出现眼部疲劳
压痛、触痛明显	Accelerator	麦粒肿
儿童散光	X-Y	每半年左右到医院复查
干眼症	X-Y	人工泪液来缓解干涩的症状
局部炎症	X-Y	糖皮质激素对症治疗
巩膜环扎术	X-Y	环扎带暴露
睑板腺功能障碍	X-Y	睑板腺按摩
眼睛充血	X-Y	找出病因
视网膜色素上皮病变	X-Y	继发性青光眼
调节力下降	Accelerator	近视力下降
减慢其发展速度	Accelerator	补充硒元素或者含硒的食品
角膜炎	X-Y	病毒性角膜炎
手术治疗	X-Y	玻璃体切割手术
吸烟	Inhibitor	使用
眼底血管样条纹	X-Y	避免眼外伤以及剧烈的体育活动
老花眼	X-Y	屈光手术
原因	Accelerator	结核
病毒性角膜炎	X-Y	睑结膜上有一层比较容易拭去的假膜
沙眼	X-Y	全身及局部的药物治疗
眼底出血	X-Y	不需要冷敷
一过性	Accelerator	视网膜动脉痉挛
外出太阳光如果强烈	Accelerator	佩戴墨镜
感染引起	Accelerator	滴抗感染的眼药水
晶状体	X-Y	老花眼
泪道狭窄或阻塞	X-Y	泪道冲洗不通畅
外界和内源性的致病因素	X-Y	角膜炎
电光性眼炎	X-Y	乳酸左氧氟沙星滴眼液
盘状角膜炎	X-Y	氟米龙滴眼剂
玻璃膜疣	X-Y	避免强烈阳光刺激眼球
糖尿病性视网膜病变	X-Y	羟苯磺酸钙
轴向是180度	Accelerator	顺规横轴的散光
视野的缺损	Accelerator	OCT检查
近视	X-Y	避免眼部疲劳的发生
小儿角膜炎	X-Y	原因通常包括物理的损伤，先天性的异常，角膜变性，营养不良等
角膜炎	X-Y	短时间使用糖皮质激素滴眼液
眼底出血	X-Y	止血药
暴露性角膜炎	X-Y	角膜绷带镜
体质弱	Accelerator	睑腺炎
视网膜中央动脉阻塞	X-Y	一旦发现需要立刻治疗
偏白色的分泌物比较多	Accelerator	病毒性结膜炎
度数	Accelerator	带来的损害
屈光性白内障手术	Accelerator	价格在20000-30000元左右
阿米巴菌感染	X-Y	角膜炎
晶体脱位	X-Y	散光
脉络膜病变	Accelerator	打针
老花眼	X-Y	不用佩戴眼镜
眼睛发痒	X-Y	睑缘炎
眼睛分泌黄白色的分泌物	X-Y	病毒性结膜炎
小儿角膜炎	X-Y	频繁眨眼
早期	Accelerator	避免强烈阳光刺激眼球
病毒性	Accelerator	可以互相传染
角膜炎	X-Y	手术治疗
孔源性视网膜脱离	X-Y	玻璃体切割手术
实在闭合不了	Accelerator	戴湿房镜
弱视	X-Y	恢复的可能性就越大
度数比较高的近视	X-Y	避免严重并发症的出现
眼痒的症状会比较重	Accelerator	过敏性结膜炎
散光	X-Y	眼睛干涩
散瞳检查以后眼底没有发生病变	Accelerator	近视眼
病毒性角膜炎	X-Y	病程会比较长
睑板腺功能障碍	X-Y	平时注意锻炼身体
免疫因素	X-Y	角膜炎
流行性出血性结膜炎	X-Y	剧烈异物感
由于角膜的病变	Accelerator	检查角膜和虹膜
散光	X-Y	中度散光
视力仍然没有恢复	Accelerator	角膜白斑
视野缺损	X-Y	视力重新恢复
泪囊炎频繁发作	Accelerator	鼻腔泪囊吻合术
散光轴位	uncorrelated	散光的严重程度
疼痛剧烈	Accelerator	睑缘炎
三焦点人工晶体	Accelerator	同时维持远、中、近三种视力的要求
巩膜环扎术	X-Y	及早到医院检查
用眼方法	X-Y	老花眼
眼睛充血	X-Y	滴抗感染的眼药水
高度散光	Accelerator	手术难度增大
消除眼睛肿	X-Y	注意一些生活习惯的改善
视网膜中央动脉阻塞	X-Y	视力急剧的下降
闭角型青光眼	X-Y	前列腺素衍生物
老花	X-Y	闭目养神
球结膜下出血	X-Y	没有治疗的必要
白塞病	X-Y	视网膜血管炎
均无好转	Accelerator	自体的血清
散光	X-Y	不适合手术
非感染性	Accelerator	原因通常包括物理的损伤，先天性的异常，角膜变性，营养不良等
眼球突出	Accelerator	暴露性角膜炎
角膜炎	X-Y	对视力造成不可逆影响
卫生习惯不良	X-Y	沙眼
眼球外伤	X-Y	不规则散光
100度或200度左右的近视	Accelerator	看远看不清
泪膜稳定性下降	X-Y	总是流泪
闭角型青光眼	X-Y	解除瞳孔阻滞的手术
隐形眼镜	X-Y	角膜炎
黄斑水肿	Accelerator	眼内注药
糖尿病视网膜病变	X-Y	玻璃体内注射雷珠单抗、康柏西普
严重的白内障	X-Y	手术治疗
视网膜表面的新生血管	Accelerator	视网膜裂孔
散光	X-Y	术后效果也可能会受到影响
角膜炎	X-Y	恢复
眼部疼痛	Accelerator	术后感染
鼻炎	X-Y	角膜炎
血栓	Accelerator	活血通络的药物
角膜接触镜	Accelerator	提高视力
视网膜色素上皮病变	X-Y	不需要处理
眼底出血	X-Y	密切的随诊观察
没有累及角膜的基质层	Accelerator	视力是完全恢复正常
裂纹或脉络膜新生血管累及了黄斑	Accelerator	视力会下降到手动且不容易恢复
佩戴近视眼镜的这些人群	Accelerator	可以看清近的东西
角膜炎	X-Y	治愈的时间
眼底出血	X-Y	应用活血化瘀、促进血液吸收的药物
小儿角膜炎	X-Y	刺痛
闭角型青光眼	X-Y	解除小梁阻力的手术
暴露性角膜炎	X-Y	湿润的眼药水帮助眼表湿润
轻微的受损	Accelerator	可以逐步修复
眼底病变	X-Y	结合化疗
浸润区域出现了瘢痕增生	Accelerator	角膜白斑
急性期	Accelerator	糖皮质激素
先天性的色盲	X-Y	色盲眼镜
随着年龄增加，花镜的度数也在增加	Accelerator	每隔2-3年就需要重新验光配新的花镜
如果症状比较严重	Accelerator	色盲眼镜
老花眼	X-Y	100-200元左右
并发症	Accelerator	青光眼的手术
老花眼	X-Y	近视力下降
减慢其发展速度	Accelerator	科学验配老花镜
沙眼	X-Y	烧灼感
严重	Accelerator	黑眼球上有白色的病灶
黑眼球下的红点	Accelerator	球结膜下出血
老花眼	X-Y	眼睛的疲劳
加工工艺上的考量	Accelerator	散光眼镜的价格肯定比单纯近视眼镜
维生素A缺乏	X-Y	角结膜干燥
眼睑蜂窝织炎	X-Y	疼痛明显
超高度近视	X-Y	注意合理的用眼习惯
眼睑蜂窝织炎	X-Y	头痛
新生血管青光眼	Accelerator	眼睛剧痛
50度	Accelerator	不会对视力造成任何影响的
糖尿病视网膜病变	X-Y	控制血压、血脂
中心性浆液性脉络膜视网膜病变	X-Y	伴有中央相对暗区
因为长期使用药物	Accelerator	暂停药物的使用
视网膜色素上皮病变	X-Y	行激光治疗
不散大瞳孔	Accelerator	屈光力增加
久治不愈	Accelerator	手术治疗
光线不足	Accelerator	近距离阅读模糊会更为明显
湿性的黄斑变性	X-Y	眼底出血
年龄的增长	Accelerator	度数有可能会逐步降低
散光度数在2年内没有明显增长	Accelerator	激光手术治疗
葡萄膜炎	X-Y	继发性视网膜脱离
严重	Accelerator	视野的缺损
细菌性角膜炎	X-Y	粘连上下睑
细菌性	Accelerator	在3-15天
角膜形态不规则	Inhibitor	恢复正常
比如	Accelerator	妥布霉素地塞米松滴眼剂
斜轴散光	Accelerator	斜颈
清晰的视觉	Accelerator	避免出现明显的疲劳不适
糖尿病性视网膜病变	X-Y	玻璃体切割手术
用眼过度	Accelerator	眼睑痉挛
异物	X-Y	泪道狭窄或阻塞
散瞳以后散光度数消失	X-Y	假性近视
散光严重的程度	Accelerator	恢复
散光	X-Y	视力下降
糖尿病视网膜病变	X-Y	可能完全没有症状
糖尿病视网膜病变	X-Y	视力下降
视网膜血管堵塞	X-Y	视力不同程度的下降
深层角膜溃疡后弹力层膨出者	Accelerator	避免受到撞击
下眼皮肿胀、疼痛	X-Y	眼睑蜂窝织炎
感染源性	X-Y	角膜炎
预防老花眼	X-Y	经常热敷
圆锥角膜	Accelerator	度数会渐进性升高
形成了新生血管	Accelerator	眼部的胀痛
眼底出血	Accelerator	眼前的黑影飘动、烟雾感
角膜炎	X-Y	角膜溃疡
成年以后	Inhibitor	恢复
干眼症	X-Y	外观上眼睛发红
睑板腺功能障碍	Accelerator	人工泪液
红血丝	X-Y	细菌感染
玻璃体后脱离	X-Y	视力的下降
红霉素眼药膏	X-Y	肝脏和肾脏功能的损伤
